subject_nr,condition,xprob__initial_precision,prior_posterior_weight,action_noise,xprob__volatility
211,2,1.4381577757474227,1.2895727647775606,0.5611928877184977,-4.888061204773072
211,3,0.839360221705812,1.633766181751884,0.8889225895984535,-4.401782992082797
211,4,0.7836602493056672,2.197346748370884,0.6258545207496515,-5.487594991431142
211,5,0.6180847651593923,1.9564125239179062,0.7728638316122655,-5.57161773642658
211,6,0.5847303588266984,2.1917688843647523,0.5899320875643119,-3.9223096173279335
212,1,0.5046364975980971,2.326069992840824,0.5376875047087593,-5.13568889183866
212,2,0.5587195758905352,1.8528151859602868,0.35304644728757395,-6.015787484207269
212,3,1.077970750309702,0.9104892428350947,1.0427178354517412,-5.400982565420875
212,4,0.8758709988067571,0.49597186011802774,0.7871533233608636,-5.432285304244271
212,5,0.9662191191309052,0.30711758598036687,1.1712720787436974,-5.123816471838772
212,6,1.0465723578018222,0.5264683419071595,1.4863423525762403,-5.270200440181571
213,1,0.7994047694836742,2.010830539006668,0.677438194742433,-5.449578794464149
213,2,0.762578387290084,1.4945716162744562,0.8564766645986417,-4.8834782696666625
213,3,0.9749346057765743,1.409713337583685,0.48854157202345916,-5.278627636251375
213,4,0.6596896582904413,2.779231236105911,0.5079037609766375,-5.207091518445567
213,5,0.5723497880712172,1.6979234217865093,0.34435710544626,-5.746239696161737
213,6,1.0045827328183994,2.1976074084202057,0.3504920107999503,-5.523202838619143
