parameter,mean,std,ess_bulk,ess_tail,rhat,rhat_warn,ess_bulk_warn,ess_tail_warn,ess_warn
"parameters[2, 27]",0.9383447689606174,0.4108737043307347,2978.8800294650305,1559.4939688959068,1.0011758317588542,false,false,false,false
"parameters[3, 27]",0.5515698219269543,0.16884117491312273,3359.003091505516,2307.341932915079,1.0008539746868625,false,false,false,false
"parameters[4, 27]",-5.085999611843758,1.0134623687061612,5014.348462052633,2557.9294835139262,1.0006465006787653,false,false,false,false
"parameters[1, 28]",1.5366464290236617,2.1110329606237754,6603.347572011725,2821.9182362125357,1.0002668145254554,false,false,false,false
"parameters[2, 28]",0.4928985073830247,0.4156119780619907,3429.942125675614,1953.8012562190206,1.0008413702169345,false,false,false,false
"parameters[3, 28]",0.7624287730122442,0.20762928029059455,4368.043655096986,2549.233569045018,1.0009148931961342,false,false,false,false
"parameters[4, 28]",-4.995711490875131,1.0694056879467497,4895.568385351168,1790.2259450226843,1.0003902743543978,false,false,false,false
"parameters[1, 29]",1.8580992741122213,2.4652977373642173,7350.5647445976965,2738.360984308337,1.0013223262399629,false,false,false,false
"parameters[2, 29]",0.9585461908007469,0.5920047130408839,3188.1828144302453,1819.4112663866445,1.0004410871010594,false,false,false,false
"parameters[3, 29]",0.9768850542665304,0.3405890153640385,3145.3233641846305,2266.669058707221,1.0021793670949972,false,false,false,false
"parameters[4, 29]",-4.247653208519021,1.1439212530519114,3520.5063040405234,1959.1327223140515,1.0014531141233074,false,false,false,false
"parameters[1, 30]",1.8953993384767023,2.7200976286958465,7084.929521971857,2861.309714945103,1.0010971206388766,false,false,false,false
"parameters[2, 30]",0.5289980206734929,0.5093625863567048,4252.503982659988,3334.7876963716853,0.9998436470493697,false,false,false,false
"parameters[3, 30]",1.478237146575955,0.49891391237404503,3188.414760830972,2681.8451857100144,0.9995701445784048,false,false,false,false
"parameters[4, 30]",-5.204527389221167,0.9898304452044027,6055.07375419459,2484.866591247856,0.9997335932447823,false,false,false,false
"parameters[1, 31]",1.155101011500797,1.1612215109935005,6163.8841474997635,2696.6985151665217,1.0000393000065226,false,false,false,false
"parameters[2, 31]",2.5455365425224477,0.5882032284633976,7845.9859513478805,2717.9623591916975,1.0003911285352367,false,false,false,false
"parameters[3, 31]",0.5077598729736805,0.126922967402024,6395.089213844673,2981.6093915039846,1.0017614959681205,false,false,false,false
"parameters[4, 31]",-4.842734744905385,1.0133522739942418,6394.10891059446,2250.8139781461905,1.0002074966779566,false,false,false,false
"parameters[1, 32]",1.4246028887117586,1.6314474761905375,5065.014912418549,2252.467961810119,1.0004085305173973,false,false,false,false
"parameters[2, 32]",2.7346671713770783,0.5880959409783149,6449.242498130859,2411.23667161387,1.000876205881256,false,false,false,false
"parameters[3, 32]",0.5285066426891011,0.1402914446397233,5490.807422134149,3385.972038271989,0.9996248831778672,false,false,false,false
"parameters[4, 32]",-4.972790772620518,1.03757670370687,4790.786596828359,2274.3052771899693,1.0006249695849918,false,false,false,false
"parameters[1, 33]",1.2132633893283506,1.0944447887997364,5383.671877804846,2903.921907411585,1.0040699931258452,false,false,false,false
"parameters[2, 33]",2.0946531530291117,0.47708495848756255,5970.367263797705,3391.5633600011906,0.9998687659335642,false,false,false,false
"parameters[3, 33]",0.2424730934478865,0.08135462120727663,6351.158174140759,3269.1920324285757,1.0016137618095335,false,false,false,false
"parameters[4, 33]",-5.022654698170732,0.9749277225466246,6636.440134924647,2683.5154118428245,1.0003136933049972,false,false,false,false
"parameters[1, 34]",1.8778603376505503,1.6588933114795954,4702.408140365926,2810.8704287224627,0.9997687565237801,false,false,false,false
"parameters[2, 34]",2.3547318148803265,0.5153526806576669,2424.940255501614,1343.0446979939748,1.002407423246356,false,false,false,false
"parameters[3, 34]",0.33657583640465577,0.1744781841218656,2390.0829109358147,1232.5207564157085,1.0028584777668939,false,false,false,false
"parameters[4, 34]",-5.675618294332504,0.8438172866922461,5770.972440563281,2712.231898374166,0.9996731127922589,false,false,false,false
"parameters[1, 35]",0.8899536555317583,0.835236468474807,7674.855025166898,3064.3576760161877,1.0007062189554463,false,false,false,false
"parameters[2, 35]",1.1946634404926177,0.4002834183591545,2026.416801505142,888.543630350195,1.0013422172077047,false,false,false,false
"parameters[3, 35]",0.388499748798127,0.16788964843775167,2095.3498992021023,880.3137022554492,1.0026809381854072,false,false,false,false
"parameters[4, 35]",-6.005905535708773,0.8553014666604901,4841.948140082834,2277.078027416779,1.0002232704700413,false,false,false,false
"parameters[1, 36]",1.435103131404502,1.9159452442282603,6575.775613480803,2537.33206609453,1.0003249553387956,false,false,false,false
"parameters[2, 36]",0.6685841165453212,0.4321689599910738,3420.1593147279664,2343.196503210343,0.9996127312267575,false,false,false,false
"parameters[3, 36]",0.8879559266813858,0.3439763560572917,2976.7596855836277,2315.706171433382,1.0015834924509965,false,false,false,false
"parameters[4, 36]",-5.322179821430644,1.034568850795705,5352.980221021726,2313.3607737874045,1.0011466235476805,false,false,false,false
"parameters[1, 37]",0.8451990808170073,0.9056911206647031,6005.981728846753,2815.7413857918823,1.0004502267204873,false,false,false,false
"parameters[2, 37]",1.4494113497676058,0.23664161304243983,3753.411067676786,2526.250547792294,1.0024594378484812,false,false,false,false
"parameters[3, 37]",0.3191948119668553,0.08089369726942444,4989.812740760999,3160.546985562068,0.9994730705426912,false,false,false,false
"parameters[4, 37]",-5.317713739275723,0.8907183519470016,5682.48460689106,2521.052668256128,1.000358265044512,false,false,false,false
"parameters[1, 38]",1.0925487911476301,1.2282224443992922,6913.598529970651,2834.4412563769956,1.000906938078882,false,false,false,false
"parameters[2, 38]",1.1323313104163375,0.3316262465321782,4066.2676546881194,2730.870273685766,0.9997097974926373,false,false,false,false
"parameters[3, 38]",0.4526535796669524,0.1232347480749447,4260.501546664056,3008.417526410854,0.9997159522294287,false,false,false,false
