"detectprob","resp_binary","subject_nr","condition"
0,0,2,1
0.0448839094861044,0,2,1
0,0,2,1
0,0,2,1
0.547473933804596,1,2,1
0,0,2,1
0.547473933804596,0,2,1
0.547473933804596,0,2,1
0.0448839094861044,1,2,1
0,0,2,1
0.0448839094861044,0,2,1
0,0,2,1
0.547473933804596,0,2,1
0,0,2,1
0,0,2,1
0,0,2,1
0.968892131604022,0,2,1
0.968892131604022,1,2,1
0,0,2,1
0.968892131604022,1,2,1
0.968892131604022,1,2,1
0,0,2,1
0.0448839094861044,1,2,1
0.547473933804596,0,2,1
0,0,2,1
0.547473933804596,0,2,1
0,0,2,1
0,0,2,1
0,0,2,1
0,0,2,1
0.0448839094861044,0,2,1
0,0,2,1
0.547473933804596,1,2,1
0.547473933804596,0,2,1
0,0,2,1
0.547473933804596,1,2,2
0.968892131604022,1,2,2
0.547473933804596,0,2,2
0.0448839094861044,0,2,2
0.968892131604022,1,2,2
0.968892131604022,1,2,2
0.547473933804596,0,2,2
0.968892131604022,0,2,2
0.547473933804596,1,2,2
0.547473933804596,1,2,2
0,0,2,2
0.547473933804596,1,2,2
0,0,2,2
0.0448839094861044,0,2,2
0.547473933804596,1,2,2
0.547473933804596,0,2,2
0.547473933804596,1,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0.547473933804596,1,2,2
0.968892131604022,0,2,2
0.547473933804596,0,2,2
0.968892131604022,1,2,2
0,0,2,2
0.547473933804596,1,2,2
0.0448839094861044,0,2,2
0,0,2,2
0,0,2,2
0.547473933804596,1,2,2
0.547473933804596,1,2,2
0.0448839094861044,0,2,2
0.968892131604022,1,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0.0448839094861044,0,2,2
0.968892131604022,1,2,2
0.547473933804596,0,2,2
0.547473933804596,1,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0.547473933804596,1,2,2
0.0448839094861044,1,2,2
0.547473933804596,0,2,2
0,0,2,2
0.547473933804596,1,2,2
0.547473933804596,0,2,2
0.968892131604022,0,2,2
0.968892131604022,1,2,2
0,0,2,2
0.0448839094861044,0,2,2
0.547473933804596,0,2,2
0,0,2,2
0,0,2,2
0.547473933804596,1,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0.0448839094861044,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0.0448839094861044,0,2,2
0.968892131604022,1,2,2
0,0,2,2
0.0448839094861044,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0.547473933804596,0,2,2
0.968892131604022,1,2,2
0,0,2,2
0.547473933804596,1,2,2
0.547473933804596,1,2,2
0.547473933804596,0,2,2
0.968892131604022,1,2,3
0.547473933804596,1,2,3
0.547473933804596,1,2,3
0.547473933804596,0,2,3
0.968892131604022,1,2,3
0,0,2,3
0.968892131604022,0,2,3
0.547473933804596,1,2,3
0.0448839094861044,0,2,3
0.547473933804596,1,2,3
0,0,2,3
0.547473933804596,1,2,3
0.968892131604022,0,2,3
0.547473933804596,0,2,3
0.0448839094861044,0,2,3
0.547473933804596,0,2,3
0.0448839094861044,1,2,3
0.547473933804596,0,2,3
0.547473933804596,0,2,3
0,0,2,3
0.968892131604022,1,2,3
0.547473933804596,0,2,3
0,0,2,3
0.0448839094861044,0,2,3
0,0,2,3
0.547473933804596,0,2,3
0,0,2,3
0,0,2,3
0.547473933804596,0,2,3
0.547473933804596,0,2,3
0.968892131604022,0,2,3
0,0,2,3
0.547473933804596,1,2,3
0,0,2,3
0.968892131604022,0,2,3
0.0448839094861044,0,2,3
0.0448839094861044,0,2,3
0,0,2,3
0.547473933804596,0,2,3
0,0,2,3
0.547473933804596,0,2,3
0,0,2,3
0,0,2,3
0.968892131604022,0,2,3
0,0,2,3
0,0,2,3
0,0,2,3
0.547473933804596,0,2,3
0.0448839094861044,1,2,3
0,0,2,3
0,0,2,3
0,0,2,3
0,0,2,3
0,0,2,3
0.547473933804596,0,2,3
0.547473933804596,0,2,3
