detectprob,binary_resp,SubjID,condition,training
0.450151482768996,0,2,2,0
0.450151482768996,1,2,2,0
4.99822244618023e-5,0,2,2,0
4.99822244618023e-5,1,2,2,0
0.0,0,2,2,0
0.450151482768996,0,2,2,0
0.450151482768996,0,2,2,0
0.450151482768996,1,2,2,0
4.99822244618023e-5,0,2,2,0
0.450151482768996,0,2,2,0
0.450151482768996,0,2,2,0
0.0,0,2,2,0
0.450151482768996,0,2,2,0
0.450151482768996,1,2,2,0
0.450151482768996,0,2,2,0
0.450151482768996,1,2,2,0
0.450151482768996,0,2,2,0
0.999925428368083,1,2,2,0
4.99822244618023e-5,1,2,2,0
0.450151482768996,1,2,2,0
4.99822244618023e-5,0,2,2,0
0.450151482768996,1,2,2,0
0.0,1,2,2,0
0.0,0,2,2,0
0.0,0,2,2,0
0.450151482768996,1,2,2,0
0.999925428368083,0,2,2,0
0.0,0,2,2,0
0.450151482768996,0,2,2,0
0.0,1,2,2,0
0.0,0,2,2,0
4.99822244618023e-5,0,2,2,0
0.0,1,2,2,0
0.999925428368083,1,2,2,0
0.0,0,2,2,0
4.99822244618023e-5,1,2,2,0
0.450151482768996,1,2,2,0
4.99822244618023e-5,0,2,2,0
0.450151482768996,1,2,2,0
0.0,1,2,2,0
0.0,0,2,2,0
0.0,0,2,2,0
0.0,0,2,2,0
0.0,0,2,2,0
0.0,0,2,2,0
4.99822244618023e-5,1,2,2,0
0.0,0,2,2,0
4.99822244618023e-5,0,2,2,0
0.999925428368083,1,2,2,0
0.999925428368083,1,2,2,0
0.450151482768996,0,2,2,0
4.99822244618023e-5,1,2,2,0
0.0,0,2,2,0
0.450151482768996,0,2,2,0
0.0,0,2,2,0
0.450151482768996,0,2,2,0
0.450151482768996,0,2,2,0
4.99822244618023e-5,0,2,2,0
0.0,0,2,2,0
0.0,0,2,2,0
0.0,0,2,2,0
0.0,0,2,2,0
4.99822244618023e-5,0,2,2,0
0.450151482768996,1,2,2,0
0.999925428368083,1,2,2,0
0.450151482768996,1,2,2,0
0.0,1,2,2,0
0.0,1,2,2,0
0.450151482768996,1,2,2,0
4.99822244618023e-5,0,2,2,0
0.999925428368083,1,2,2,0
0.0,0,2,2,0
4.99822244618023e-5,1,2,2,0
4.99822244618023e-5,0,2,2,0
