parameter,mean,std,ess_bulk,rhat,rhat_warn,ess_warn
"parameters[1, 25]",0.4440257517524708,0.3637172213377478,2677.18064597981,1.000326691695068,false,false
"parameters[2, 25]",0.9289172133646798,0.28215801171626503,2396.880689140855,1.0005259490735545,false,false
"parameters[3, 25]",-4.322716737834557,1.2484833115910836,2327.291209592772,1.0000263933067397,false,false
"parameters[1, 26]",3.123534654428411,0.5430449924324136,4295.338152162314,1.002059087080652,false,false
"parameters[2, 26]",0.37582567682958473,0.06844815964477859,3640.5663135222007,1.0010517337416542,false,false
"parameters[3, 26]",-4.723015018845521,0.9728037178556999,4656.922048764488,0.9996180517214592,false,false
"parameters[1, 27]",1.7842990628968882,0.26903148459803694,4739.274167230963,1.001236516067824,false,false
"parameters[2, 27]",0.31904819589611405,0.08484049017656473,3512.5595466868735,1.0004388827585478,false,false
"parameters[3, 27]",-6.562897246220566,0.7502020937791427,3595.2128496638525,1.0004733590312185,false,false
"parameters[1, 28]",0.7597213509280835,0.40930776891148346,3042.5201160046367,1.001710846563491,false,false
"parameters[2, 28]",0.8270817997386161,0.2123348639074289,2854.6511472868765,1.0013637885554667,false,false
"parameters[3, 28]",-4.497118299788573,0.9306139894657655,4238.788737467068,1.0023542370928868,false,false
"parameters[1, 29]",0.9217785922288875,0.49492234721575956,2392.039171327269,1.0008244359822736,false,false
"parameters[2, 29]",0.8982532701610125,0.3180729976842273,2078.3597543500996,1.0001824654922848,false,false
"parameters[3, 29]",-5.4798920844103,0.9761150837866124,3605.5428360367277,1.00102148165249,false,false
"parameters[1, 30]",2.337821561745138,0.454159352513903,3904.1295064026717,1.0005550641907337,false,false
"parameters[2, 30]",0.5880745346452878,0.12900585189905328,4226.6479296386815,1.0028756524849194,false,false
"parameters[3, 30]",-5.643627192899556,0.8785025211598305,5552.951299158757,1.002946532372112,false,false
"parameters[1, 31]",1.6025669913098435,0.604977285712155,3746.9065468429985,1.0016197140327254,false,false
"parameters[2, 31]",0.5452712896498829,0.12569851255508724,3524.852835921327,1.001246110379261,false,false
"parameters[3, 31]",-5.365735881725922,0.9499789985410645,3966.2939146149733,1.0014317345453385,false,false
"parameters[1, 32]",0.5408377143612096,0.45976135009223373,1418.6422041541468,1.0016932732365067,false,false
"parameters[2, 32]",1.225123660252614,0.5026914519583582,1474.8662784332082,1.0018521081832608,false,false
"parameters[3, 32]",-4.767724264092582,1.0435291398691986,3188.869453871914,1.0015123311041656,false,false
"parameters[1, 33]",2.6742406257017746,0.41101587107883236,4285.488744644648,1.0008200957987248,false,false
"parameters[2, 33]",0.3338521436650061,0.09914837031948069,4281.535229508746,0.9998300202079381,false,false
"parameters[3, 33]",-5.2658361206828825,0.8981735968927094,3743.4271377764367,1.0009698629337909,false,false
"parameters[1, 34]",0.48984619141333785,0.37190303613553466,1912.1290447497274,0.9997835981840755,false,false
"parameters[2, 34]",1.0197135089768792,0.333075718846307,1868.8640225950685,0.9997895037101048,false,false
"parameters[3, 34]",-4.104022790266028,1.2494141890868609,2996.6744264898125,1.0006828224068927,false,false
"parameters[1, 35]",2.04130123462713,0.34804803891991865,3513.4123753568247,1.0012157956374448,false,false
"parameters[2, 35]",0.4355165973402779,0.12904201777374108,3512.346628646254,1.0012420399408055,false,false
"parameters[3, 35]",-5.9798841205489826,0.8409248015727654,4304.638694979506,1.0026615486627766,false,false
"parameters[1, 36]",0.7676505922970643,0.3996434161815732,3181.9106535716774,1.000120561810778,false,false
"parameters[2, 36]",0.8061631534436748,0.1836553288293639,2812.629199949602,1.0004912128725247,false,false
"parameters[3, 36]",-5.383906211927128,0.9435860494702698,3701.1924305395555,1.0023778819884075,false,false
"parameters[1, 37]",2.01307868992977,0.615531413712591,4290.001817067415,1.0010194062983782,false,false
"parameters[2, 37]",0.8141908359265395,0.18205537413362363,3686.9011508105996,1.0000516393922232,false,false
"parameters[3, 37]",-3.986742376253829,1.2414175499140503,3949.487522607433,0.9997271035548483,false,false
"parameters[1, 38]",2.052899001832038,0.4872764139356765,4043.1825641916525,1.0012518208813606,false,false
"parameters[2, 38]",0.7511785389460243,0.1943051966029041,4139.675710244438,1.0007206703945486,false,false
"parameters[3, 38]",-5.661882213159195,1.0148397624982457,4334.176559398673,1.0002131127970175,false,false
"parameters[1, 39]",1.665323604942258,0.3320157239856551,4195.691151388191,1.0002045749360613,false,false
"parameters[2, 39]",0.43132710049231204,0.0998901355041455,3978.0523120163157,1.0006505189692996,false,false
"parameters[3, 39]",-5.584636673186056,0.9142683222551108,4115.591278315371,1.0026888081068335,false,false
"parameters[1, 40]",1.4732687132885458,0.2966505665791472,3628.896440211128,1.0012631153223928,false,false
"parameters[2, 40]",0.4671148901928105,0.12193295733281875,3881.358849270291,1.0004249299976773,false,false
