source_row,SubjID,condition,timestep,current_detectprob,current_response,previous_response,training,belief,xbin__prediction_mean,xbin__value_prediction_error,xprob__value_prediction_error,xprob__precision_prediction_error,xprob__posterior_precision,xprob__posterior_mean,xvol__value_prediction_error,xvol__posterior_precision,xvol__posterior_mean,signal_expectation
8251,42,1,73,0.0,0,0,0,0.10424574108842069,0.32241817470807965,-0.32241817470807965,-0.05306894860697309,-0.01950751140404705,6.067557885929228,-0.7976698597489602,-0.00040016095904120245,0.8816427422610607,-0.0028896421056590496,0.31052417954015366
8252,42,1,74,0.0,0,0,0,0.10003567562313433,0.31052417954015366,-0.31052417954015366,-0.05122005976027716,-0.019971613916630493,6.062550949029879,-0.8488899195092374,-0.0004099007970331113,0.8807067835839875,-0.003299542902692161,0.2996657748352788
8253,42,1,75,0.0,0,0,0,0.09544139822413417,0.2996657748352788,-0.2996657748352788,-0.049500835495919715,-0.020347665982269725,6.053752654897826,-0.8983907550051571,-0.0004175642492303521,0.8797792745006415,-0.003717107151922513,0.28938131092160535
8254,42,1,76,0.0,0,0,0,0.09124538537394217,0.28938131092160535,-0.28938131092160535,-0.04789941148869742,-0.020648833790800458,6.0414384817003555,-0.9462901664938546,-0.000423426507702899,0.8788579245651438,-0.004140533659625412,0.27963151232314865
8255,42,1,77,0.670369362671822,0,0,0,0.5352381987864645,0.27963151232314865,-0.27963151232314865,-0.0464050912683559,-0.020886223053405983,6.025880766311005,-0.9926952577622103,-0.0004277270282046397,0.8779407148715102,-0.004568260687830052,0.27038004405080984
8256,42,1,78,0.670369362671822,1,0,0,0.5321725544987912,0.27038004405080984,-0.27038004405080984,-0.04500824695014888,-0.021069211943679,6.007345207572908,-1.0377035047123593,-0.0004306741575996597,0.8770258701416982,-0.0049989348454297115,0.26159334891418284
8257,42,1,79,0.0,0,1,0,0.09573537059979716,0.26159334891418284,0.7384066510858172,0.12335380983251953,0.05587755287338081,5.9860882965492745,-0.9143496948798397,0.0011395129469941308,0.8748343751428718,-0.0038594218984355807,0.2861105812012871
8258,42,1,80,0.0,0,0,0,0.0916627749386278,0.2861105812012871,-0.2861105812012871,-0.04786720490241725,-0.02094457292578744,5.977174164508233,-0.962216899782257,-0.00042719900990461756,0.8739218053902866,-0.004286620908340198,0.27643455522369687
8259,42,1,81,0.477160093231063,1,0,0,0.4080128859996142,0.27643455522369687,-0.27643455522369687,-0.04634480128262508,-0.02115180095386504,5.964737883059627,-1.008561701064882,-0.00043107739509317105,0.8730136680613533,-0.00471769830343337,0.26726142372094364
8260,42,1,82,0.0,0,1,0,0.09858795413615976,0.26726142372094364,0.7327385762790564,0.12316858887642246,0.054361286240380724,5.949071333691359,-0.8834970396554964,0.0011063567656929758,0.870861773062083,-0.0036113415377403936,0.29245363086477344
